Order_ID,Date,State,City,Model,Units_Sold,Unit_Price_INR,Discount_INR,Revenue_INR,Sales_Channel,Payment_Mode,Customer_Age,Customer_Gender,Customer_Rating
OE100048,2023-01-06,Uttar Pradesh,Noida,S1 X+ (4kWh),1,139999,0,139999,Company Owned Store,EMI - NBFC,49,Female,3.0
OE100047,2023-01-06,Bihar,Patna,S1 Air,1,84999,0,84999,Ola Experience Center,EMI - NBFC,28,Male,3.9
OE100054,2023-01-06,Gujarat,Vadodara,S1 X (3kWh),1,99999,0,99999,Company Owned Store,EMI - Bank Loan,34,Female,4.2
OE100070,2023-01-07,Rajasthan,Udaipur,S1 Pro+,1,159999,0,159999,Online (Ola App),Subvention Scheme,21,Male,4.4
OE100073,2023-01-07,Andhra Pradesh,Vijayawada,S1 Pro,1,147999,0,147999,Ola Experience Center,Full Payment,29,Female,4.8
OE100072,2023-01-07,Madhya Pradesh,Bhopal,S1 X (3kWh),1,99999,0,99999,Dealer Partner,EMI - Bank Loan,36,Male,5.0
OE100071,2023-01-07,Telangana,Hyderabad,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Subvention Scheme,38,Male,4.9
OE100069,2023-01-07,Punjab,Chandigarh,S1 X (3kWh),2,99999,2000,195998,Online (Ola App),EMI - Bank Loan,46,Female,4.6
OE100068,2023-01-07,Maharashtra,Mumbai,S1 Air,1,84999,0,84999,Dealer Partner,EMI - Bank Loan,27,Male,5.0
OE100067,2023-01-07,Kerala,Kozhikode,S1 Pro+,1,159999,0,159999,Online (Ola App),Subvention Scheme,41,Female,4.7
OE100066,2023-01-07,Uttar Pradesh,Noida,S1 X+ (4kWh),1,139999,5000,134999,Company Owned Store,Subvention Scheme,42,Male,3.3
OE100065,2023-01-07,Delhi,Rohini,S1 Pro,1,147999,5000,142999,Online (Ola App),EMI - Bank Loan,40,Male,3.1
OE100064,2023-01-07,Maharashtra,Pune,S1 Pro,1,147999,0,147999,Ola Experience Center,Subvention Scheme,18,Male,4.7
OE100063,2023-01-07,Maharashtra,Pune,S1 X (2kWh),1,79999,0,79999,Online (Ola App),EMI - NBFC,28,Male,4.4
OE100082,2023-01-08,Uttar Pradesh,Varanasi,S1 X (2kWh),1,79999,8000,71999,Company Owned Store,EMI - Bank Loan,35,Male,4.2
OE100081,2023-01-08,Delhi,Rohini,S1 X (2kWh),1,79999,0,79999,Company Owned Store,EMI - NBFC,18,Male,4.9
OE100080,2023-01-08,Andhra Pradesh,Visakhapatnam,S1 Air,1,84999,0,84999,Company Owned Store,EMI - Bank Loan,30,Female,4.8
OE100078,2023-01-08,Karnataka,Mangaluru,S1 Pro,1,147999,0,147999,Ola Experience Center,Full Payment,38,Male,3.5
OE100079,2023-01-08,Delhi,Dwarka,S1 X+ (4kWh),1,139999,2000,137999,Dealer Partner,Full Payment,23,Male,3.2
OE100076,2023-01-08,Karnataka,Bengaluru,S1 X (3kWh),1,99999,0,99999,Company Owned Store,Subvention Scheme,36,Male,4.1
OE100075,2023-01-08,Kerala,Thiruvananthapuram,S1 X (2kWh),1,79999,0,79999,Online (Ola App),Full Payment,45,Male,4.0
OE100074,2023-01-08,Tamil Nadu,Coimbatore,S1 Air,1,84999,8000,76999,Online (Ola App),Full Payment,38,Female,3.7
OE100077,2023-01-08,Karnataka,Mysuru,S1 X (3kWh),1,99999,2000,97999,Ola Experience Center,Subvention Scheme,18,Male,4.9
OE100092,2023-01-09,Karnataka,Mysuru,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - NBFC,18,Female,4.8
OE100097,2023-01-09,Telangana,Warangal,S1 Pro,1,147999,0,147999,Dealer Partner,Subvention Scheme,33,Female,4.7
OE100096,2023-01-09,Punjab,Amritsar,S1 X (2kWh),2,79999,0,159998,Dealer Partner,EMI - Bank Loan,23,Male,5.0
OE100095,2023-01-09,Uttar Pradesh,Noida,S1 Air,1,84999,0,84999,Ola Experience Center,Full Payment,29,Female,3.1
OE100094,2023-01-09,Delhi,Rohini,S1 Pro+,1,159999,0,159999,Online (Ola App),EMI - Bank Loan,34,Female,4.8
OE100093,2023-01-09,Gujarat,Surat,S1 Pro+,1,159999,0,159999,Dealer Partner,Full Payment,21,Female,3.9
OE100091,2023-01-09,Rajasthan,Udaipur,S1 X (3kWh),1,99999,0,99999,Online (Ola App),EMI - Bank Loan,31,Male,4.8
OE100084,2023-01-09,Telangana,Warangal,S1 X (3kWh),1,99999,5000,94999,Ola Experience Center,Subvention Scheme,30,Male,4.5
OE100089,2023-01-09,Karnataka,Bengaluru,S1 X+ (4kWh),1,139999,0,139999,Ola Experience Center,Full Payment,55,Male,3.4
OE100088,2023-01-09,Maharashtra,Nashik,S1 X+ (4kWh),1,139999,5000,134999,Ola Experience Center,EMI - NBFC,36,Male,4.7
OE100087,2023-01-09,Maharashtra,Pune,S1 Air,1,84999,0,84999,Ola Experience Center,Subvention Scheme,41,Male,4.6
OE100086,2023-01-09,West Bengal,Siliguri,S1 Pro,1,147999,0,147999,Online (Ola App),Full Payment,36,Male,4.5
OE100085,2023-01-09,Delhi,New Delhi,S1 X (2kWh),1,79999,0,79999,Ola Experience Center,EMI - NBFC,52,Male,3.9
OE100083,2023-01-09,Maharashtra,Pune,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,Full Payment,37,Male,3.3
OE100090,2023-01-09,Karnataka,Mangaluru,S1 Pro,1,147999,0,147999,Dealer Partner,Subvention Scheme,31,Female,4.9
OE100103,2023-01-10,Gujarat,Vadodara,S1 Air,1,84999,0,84999,Dealer Partner,Full Payment,37,Female,3.6
OE100104,2023-01-10,Karnataka,Bengaluru,S1 Pro+,1,159999,0,159999,Company Owned Store,EMI - Bank Loan,36,Female,3.8
OE100101,2023-01-10,Punjab,Chandigarh,S1 Air,1,84999,0,84999,Online (Ola App),Subvention Scheme,41,Female,4.2
OE100102,2023-01-10,Kerala,Kozhikode,S1 X (3kWh),1,99999,0,99999,Company Owned Store,Subvention Scheme,41,Female,4.6
OE100099,2023-01-10,Maharashtra,Pune,S1 X+ (4kWh),1,139999,0,139999,Dealer Partner,Subvention Scheme,24,Male,2.9
OE100098,2023-01-10,Tamil Nadu,Chennai,S1 Pro+,1,159999,8000,151999,Online (Ola App),EMI - NBFC,36,Female,3.7
OE100100,2023-01-10,Bihar,Patna,S1 X (3kWh),1,99999,0,99999,Company Owned Store,EMI - Bank Loan,34,Male,4.3
OE100105,2023-01-11,Kerala,Thiruvananthapuram,S1 Pro+,1,159999,0,159999,Ola Experience Center,EMI - Bank Loan,49,Male,3.8
OE100106,2023-01-11,Maharashtra,Nashik,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - Bank Loan,41,Male,4.6
OE100107,2023-01-11,Rajasthan,Udaipur,S1 X (3kWh),1,99999,5000,94999,Dealer Partner,EMI - Bank Loan,39,Female,3.9
OE100108,2023-01-11,Uttar Pradesh,Kanpur,S1 Pro,1,147999,0,147999,Dealer Partner,Full Payment,31,Male,4.6
OE100109,2023-01-11,Bihar,Patna,S1 X+ (4kWh),1,139999,0,139999,Dealer Partner,EMI - Bank Loan,35,Male,4.1
OE100110,2023-01-11,Tamil Nadu,Chennai,S1 Pro,1,147999,0,147999,Online (Ola App),Subvention Scheme,29,Female,4.4
OE100111,2023-01-11,Gujarat,Vadodara,S1 X (3kWh),2,99999,0,199998,Ola Experience Center,Full Payment,19,Male,4.1
OE100112,2023-01-11,Madhya Pradesh,Bhopal,S1 Air,1,84999,0,84999,Company Owned Store,EMI - Bank Loan,25,Male,4.3
OE100113,2023-01-11,Maharashtra,Nashik,S1 X (3kWh),1,99999,8000,91999,Online (Ola App),EMI - NBFC,31,Female,4.4
OE100119,2023-01-12,Maharashtra,Nashik,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Full Payment,31,Female,4.9
OE100122,2023-01-12,Maharashtra,Nashik,S1 X (3kWh),1,99999,0,99999,Company Owned Store,EMI - NBFC,18,Male,5.0
OE100121,2023-01-12,Haryana,Faridabad,S1 Pro,1,147999,0,147999,Dealer Partner,EMI - Bank Loan,18,Female,4.6
OE100120,2023-01-12,Delhi,New Delhi,S1 Pro,1,147999,0,147999,Ola Experience Center,EMI - Bank Loan,58,Male,4.8
OE100117,2023-01-12,Kerala,Kozhikode,S1 X+ (4kWh),1,139999,0,139999,Company Owned Store,Full Payment,27,Female,3.8
OE100116,2023-01-12,Tamil Nadu,Coimbatore,S1 X+ (4kWh),1,139999,2000,137999,Online (Ola App),EMI - NBFC,42,Female,5.0
OE100115,2023-01-12,Karnataka,Bengaluru,S1 Pro+,1,159999,0,159999,Online (Ola App),EMI - NBFC,39,Female,3.3
OE100114,2023-01-12,Delhi,New Delhi,S1 Air,1,84999,0,84999,Online (Ola App),EMI - NBFC,37,Male,3.9
OE100118,2023-01-12,Madhya Pradesh,Indore,S1 X (2kWh),1,79999,0,79999,Dealer Partner,EMI - Bank Loan,18,Male,4.5
OE100123,2023-01-13,Gujarat,Ahmedabad,S1 X (2kWh),1,79999,0,79999,Online (Ola App),EMI - Bank Loan,26,Male,5.0
OE100124,2023-01-13,Maharashtra,Mumbai,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Full Payment,50,Female,4.0
OE100125,2023-01-13,Gujarat,Vadodara,S1 Pro+,1,159999,0,159999,Company Owned Store,Full Payment,32,Male,4.6
OE100126,2023-01-13,Tamil Nadu,Madurai,S1 X (2kWh),1,79999,0,79999,Company Owned Store,EMI - Bank Loan,46,Male,3.7
OE100127,2023-01-13,Telangana,Hyderabad,S1 Air,1,84999,8000,76999,Dealer Partner,EMI - Bank Loan,58,Male,2.9
OE100128,2023-01-13,Punjab,Chandigarh,S1 Air,1,84999,0,84999,Company Owned Store,EMI - NBFC,49,Female,3.8
OE100129,2023-01-13,Maharashtra,Pune,S1 X (2kWh),1,79999,0,79999,Online (Ola App),Full Payment,27,Female,4.6
OE100130,2023-01-13,Uttar Pradesh,Lucknow,S1 Air,1,84999,5000,79999,Ola Experience Center,Full Payment,46,Male,3.5
OE100139,2023-01-14,Maharashtra,Pune,S1 Air,1,84999,0,84999,Ola Experience Center,EMI - Bank Loan,22,Female,3.7
OE100140,2023-01-14,Tamil Nadu,Madurai,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - Bank Loan,25,Female,4.5
OE100138,2023-01-14,Uttar Pradesh,Varanasi,S1 Air,1,84999,0,84999,Ola Experience Center,EMI - NBFC,35,Male,4.0
OE100142,2023-01-14,Telangana,Hyderabad,S1 X (3kWh),1,99999,8000,91999,Ola Experience Center,EMI - Bank Loan,27,Male,5.0
OE100141,2023-01-14,Tamil Nadu,Madurai,S1 X+ (4kWh),1,139999,0,139999,Company Owned Store,Full Payment,38,Male,3.4
OE100137,2023-01-14,Maharashtra,Mumbai,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Subvention Scheme,30,Female,3.7
OE100131,2023-01-14,Gujarat,Ahmedabad,S1 X (3kWh),1,99999,0,99999,Online (Ola App),EMI - Bank Loan,29,Male,4.2
OE100135,2023-01-14,Telangana,Hyderabad,S1 X (3kWh),1,99999,0,99999,Company Owned Store,Full Payment,26,Male,4.8
OE100134,2023-01-14,Kerala,Kochi,S1 Pro,1,147999,0,147999,Company Owned Store,Subvention Scheme,45,Male,3.5
OE100133,2023-01-14,Rajasthan,Jaipur,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,EMI - NBFC,39,Female,4.6
OE100132,2023-01-14,Kerala,Thiruvananthapuram,S1 X+ (4kWh),1,139999,0,139999,Dealer Partner,EMI - Bank Loan,31,Male,3.9
OE100136,2023-01-14,Kerala,Thiruvananthapuram,S1 X+ (4kWh),1,139999,0,139999,Online (Ola App),Full Payment,23,Male,4.5
OE100143,2023-01-15,Haryana,Faridabad,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - Bank Loan,38,Male,3.5
OE100144,2023-01-15,Karnataka,Mysuru,S1 Pro,1,147999,8000,139999,Online (Ola App),EMI - NBFC,31,Male,3.8
OE100145,2023-01-15,Tamil Nadu,Chennai,S1 Air,1,84999,0,84999,Online (Ola App),Full Payment,29,Male,5.0
OE100146,2023-01-15,Karnataka,Mangaluru,S1 Pro+,1,159999,0,159999,Company Owned Store,Subvention Scheme,39,Female,4.2
OE100147,2023-01-15,Tamil Nadu,Chennai,S1 Air,1,84999,0,84999,Dealer Partner,EMI - NBFC,32,Male,3.5
OE100148,2023-01-15,Maharashtra,Nashik,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Subvention Scheme,36,Male,3.1
OE100149,2023-01-15,Delhi,Rohini,S1 Pro+,1,159999,5000,154999,Ola Experience Center,EMI - Bank Loan,42,Male,3.0
OE100158,2023-01-16,Maharashtra,Mumbai,S1 X (2kWh),1,79999,2000,77999,Company Owned Store,Full Payment,28,Male,4.1
OE100157,2023-01-16,Tamil Nadu,Chennai,S1 Air,1,84999,0,84999,Company Owned Store,Full Payment,35,Male,3.9
OE100156,2023-01-16,Kerala,Kozhikode,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - Bank Loan,31,Male,3.4
OE100154,2023-01-16,Maharashtra,Pune,S1 Pro+,1,159999,0,159999,Dealer Partner,Full Payment,29,Male,3.8
OE100155,2023-01-16,Karnataka,Bengaluru,S1 X (3kWh),1,99999,8000,91999,Ola Experience Center,EMI - Bank Loan,52,Male,4.5
OE100152,2023-01-16,Delhi,Rohini,S1 Pro+,1,159999,0,159999,Online (Ola App),EMI - Bank Loan,34,Male,2.5
OE100151,2023-01-16,Gujarat,Surat,S1 Pro,1,147999,0,147999,Ola Experience Center,EMI - NBFC,22,Male,4.2
OE100150,2023-01-16,Gujarat,Vadodara,S1 Pro,1,147999,0,147999,Ola Experience Center,EMI - NBFC,39,Male,4.2
OE100153,2023-01-16,West Bengal,Siliguri,S1 Air,1,84999,0,84999,Online (Ola App),EMI - Bank Loan,34,Male,3.4
OE100164,2023-01-17,Gujarat,Surat,S1 Air,1,84999,0,84999,Company Owned Store,Subvention Scheme,31,Male,4.8
OE100159,2023-01-17,Karnataka,Bengaluru,S1 Pro+,1,159999,2000,157999,Ola Experience Center,EMI - Bank Loan,27,Male,4.6
OE100160,2023-01-17,Maharashtra,Nashik,S1 Pro,1,147999,2000,145999,Online (Ola App),EMI - Bank Loan,29,Male,4.4
OE100161,2023-01-17,Maharashtra,Mumbai,S1 Air,1,84999,0,84999,Ola Experience Center,Full Payment,27,Male,4.3
OE100162,2023-01-17,Punjab,Chandigarh,S1 Air,1,84999,8000,76999,Online (Ola App),Full Payment,26,Male,4.9
OE100163,2023-01-17,Karnataka,Mangaluru,S1 Air,1,84999,0,84999,Ola Experience Center,Full Payment,43,Male,4.6
OE100165,2023-01-17,Kerala,Kozhikode,S1 Pro+,1,159999,0,159999,Ola Experience Center,EMI - NBFC,35,Male,3.7
OE100166,2023-01-17,Gujarat,Surat,S1 X (2kWh),1,79999,0,79999,Online (Ola App),EMI - NBFC,29,Female,4.1
OE100167,2023-01-17,Punjab,Ludhiana,S1 X (2kWh),1,79999,2000,77999,Ola Experience Center,Subvention Scheme,24,Male,4.7
OE100168,2023-01-17,Telangana,Warangal,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - Bank Loan,40,Male,3.7
OE100169,2023-01-17,Bihar,Patna,S1 Pro,1,147999,0,147999,Company Owned Store,Subvention Scheme,31,Male,3.5
OE100177,2023-01-18,Telangana,Warangal,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,Full Payment,30,Female,3.9
OE100176,2023-01-18,Haryana,Faridabad,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - Bank Loan,40,Female,4.6
OE100178,2023-01-18,Karnataka,Mangaluru,S1 Pro+,1,159999,5000,154999,Online (Ola App),EMI - NBFC,34,Male,4.0
OE100175,2023-01-18,Uttar Pradesh,Noida,S1 Pro,1,147999,0,147999,Ola Experience Center,Full Payment,28,Male,5.0
OE100170,2023-01-18,Rajasthan,Udaipur,S1 Air,1,84999,0,84999,Dealer Partner,Full Payment,28,Male,5.0
OE100173,2023-01-18,Maharashtra,Nashik,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,EMI - NBFC,28,Male,3.9
OE100172,2023-01-18,Maharashtra,Pune,S1 Air,1,84999,0,84999,Dealer Partner,EMI - Bank Loan,28,Male,3.7
OE100171,2023-01-18,Uttar Pradesh,Noida,S1 Pro,1,147999,2000,145999,Ola Experience Center,EMI - Bank Loan,55,Female,5.0
OE100174,2023-01-18,Maharashtra,Pune,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - NBFC,24,Male,4.3
OE100192,2023-01-19,Telangana,Warangal,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Subvention Scheme,41,Male,2.5
OE100191,2023-01-19,Karnataka,Mangaluru,S1 Pro,1,147999,0,147999,Dealer Partner,Full Payment,33,Female,3.1
OE100190,2023-01-19,Madhya Pradesh,Indore,S1 X+ (4kWh),1,139999,0,139999,Company Owned Store,Full Payment,27,Male,5.0
OE100189,2023-01-19,Tamil Nadu,Coimbatore,S1 X (3kWh),1,99999,2000,97999,Company Owned Store,Subvention Scheme,18,Female,4.0
OE100187,2023-01-19,Karnataka,Mysuru,S1 X (3kWh),1,99999,0,99999,Dealer Partner,EMI - NBFC,50,Male,3.9
OE100186,2023-01-19,Punjab,Chandigarh,S1 X+ (4kWh),1,139999,8000,131999,Online (Ola App),EMI - Bank Loan,44,Male,4.3
OE100188,2023-01-19,Delhi,New Delhi,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - Bank Loan,31,Female,2.9
OE100184,2023-01-19,Maharashtra,Nagpur,S1 X (3kWh),1,99999,2000,97999,Ola Experience Center,EMI - Bank Loan,37,Male,3.7
OE100183,2023-01-19,Tamil Nadu,Chennai,S1 X+ (4kWh),1,139999,0,139999,Dealer Partner,Full Payment,32,Male,4.3
OE100182,2023-01-19,Tamil Nadu,Coimbatore,S1 X (3kWh),1,99999,2000,97999,Company Owned Store,Subvention Scheme,27,Male,4.3
OE100181,2023-01-19,Karnataka,Bengaluru,S1 Pro+,1,159999,0,159999,Company Owned Store,Full Payment,30,Male,4.4
OE100180,2023-01-19,Uttar Pradesh,Kanpur,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,Full Payment,34,Female,3.6
OE100179,2023-01-19,Uttar Pradesh,Kanpur,S1 X (3kWh),1,99999,0,99999,Online (Ola App),Subvention Scheme,44,Male,4.7
OE100185,2023-01-19,Maharashtra,Nagpur,S1 Pro+,1,159999,0,159999,Company Owned Store,Full Payment,24,Female,3.8
OE100198,2023-01-20,Maharashtra,Nagpur,S1 X+ (4kWh),1,139999,0,139999,Online (Ola App),Subvention Scheme,34,Male,3.7
OE100197,2023-01-20,Uttar Pradesh,Lucknow,S1 Air,1,84999,0,84999,Online (Ola App),Subvention Scheme,37,Male,3.7
OE100196,2023-01-20,Delhi,New Delhi,S1 X (3kWh),1,99999,2000,97999,Online (Ola App),EMI - Bank Loan,40,Male,3.9
OE100194,2023-01-20,Haryana,Gurugram,S1 Pro+,1,159999,0,159999,Company Owned Store,Subvention Scheme,29,Male,3.5
OE100193,2023-01-20,Tamil Nadu,Chennai,S1 Pro,1,147999,2000,145999,Ola Experience Center,Subvention Scheme,42,Female,3.7
OE100195,2023-01-20,Karnataka,Bengaluru,S1 Air,1,84999,0,84999,Company Owned Store,EMI - Bank Loan,29,Male,4.5
OE100204,2023-01-21,Karnataka,Bengaluru,S1 X (2kWh),1,79999,0,79999,Company Owned Store,EMI - Bank Loan,22,Female,3.6
